,cluster 0,z-score 0,cluster 1,z-score 1,cluster 2,z-score 2,cluster 3,z-score 3,cluster 4,z-score 4,cluster 5,z-score 5,cluster 6,z-score 6,cluster 7,z-score 7
239,value_H3K9me1,-0.013144553600069737,value_GABPA,-0.2911381309105382,value_EP300,-0.33188799013590387,value_H4K5K8ac,-0.31084540864687943,value_CHD8,-0.2370230233562981,value_CHD8,-0.2354044698476345,value_TAF1,-0.30248462583446567,value_H3K122ac,-0.3107494936395098
240,value_BRD3,-0.015787714426185775,value_BMI1,-0.29208852118552514,value_MAX,-0.33192063414373907,value_MYCN,-0.31486366714275166,value_WDR5,-0.2458177402136108,value_H4K5K8ac,-0.24331589410498664,value_H2A.Z,-0.3069407450631377,value_EP300,-0.3122634426980605
241,value_RBPJ,-0.016061790144735365,value_NRF1,-0.30046980653029076,value_H3K122ac,-0.3374751398858733,value_TAF1,-0.31862316307844946,value_H3K27ac,-0.25190395132255067,value_H2A.Z,-0.2556107121744481,value_H4K5ac,-0.3083311448107826,value_H2A.Z,-0.3134194245380395
242,value_PSIP1,-0.01699448701459767,value_H3K27ac,-0.3065666405135441,value_H3K4me2,-0.3398688527542856,value_H2A.Z,-0.3269465007792835,value_H4K16ac,-0.2536642867202645,value_TAF1,-0.25914434969978595,value_H3K122ac,-0.30845849536006487,value_H4K5K8ac,-0.3150411951699907
243,value_GFP,-0.01980874791445595,value_H3K9ac,-0.30860380947141364,value_H4K5ac,-0.3452223860523928,value_H3K9K14ac,-0.3412956426616807,value_H2A.Z,-0.25391920707329724,value_H4K16ac,-0.259556039859607,value_MAX,-0.313668586386289,value_H4K5ac,-0.3178182248472442
244,value_H3K27me2,-0.02369070834592485,value_MYCN,-0.30877133778354726,value_H2A.Z,-0.35414570770185383,value_EP300,-0.34598673785724104,value_H3K4me1,-0.26150804385619125,value_H3K122ac,-0.2684134990772757,value_EP300,-0.3153824436582373,value_MAX,-0.3429483339283549
245,value_MECP2,-0.02598728241710837,value_TAF1,-0.32233124651282025,value_RNA_polymerase_II,-0.3785611384368458,value_H3K27ac,-0.3627259641665803,value_H3K4me2,-0.26544725168204797,value_H4K5ac,-0.282949807809612,value_DNase-Seq,-0.34531826233603496,value_RNA_polymerase_II,-0.35305957056725673
246,value_KAT2A,-0.036586483640019866,value_EP300,-0.33727844902411713,value_DNase-Seq,-0.3941613421654187,value_RNA_polymerase_II,-0.36570888501165244,value_RNA_polymerase_II,-0.2727400971950098,value_RNA_polymerase_II,-0.2974138352035589,value_RNA_polymerase_II,-0.3512003619091387,value_H3K9K14ac,-0.3545877223748386
247,value_CDYL,-0.0402305571514516,value_RNA_polymerase_II,-0.36107999647742495,value_H3K9K14ac,-0.4013116538338228,value_MAX,-0.36744885180600745,value_H3K9K14ac,-0.2824844188272611,value_H3K9K14ac,-0.32602227653351745,value_H3K9K14ac,-0.35534388793106614,value_H3K27ac,-0.37409812297069694
248,value_ATF3,-0.059485871033839795,value_MAX,-0.3615087544023903,value_H3K27ac,-0.4119455701059681,value_H3K9ac,-0.36787480040259785,value_TAF1,-0.2835008732786724,value_H3K27ac,-0.3348040543302446,value_H3K27ac,-0.37049842603662364,value_DNase-Seq,-0.38160617904826044
249,value_SMC1A,-0.06007459431490369,value_H3K4me1,-0.37477359463737714,value_H3K9ac,-0.4519275019515637,value_DNase-Seq,-0.4106457572461956,value_H3K4me3,-0.30025306437512844,value_H3K9ac,-0.3685860902106932,value_H3K9ac,-0.4054020027671384,value_H3K9ac,-0.3954835443237131
250,value_GTF3C5,-0.08888808813813777,value_H3K4me3,-0.38599455241063235,value_H3K4me1,-0.5000581372036461,value_H3K4me1,-0.4163531149280231,value_H4K5ac,-0.3052789451587189,value_H3K4me1,-0.3703808748312435,value_H3K4me1,-0.4296654089421267,value_H3K4me1,-0.41258048849656875
251,value_STAG2,-0.1117112248579372,value_DNase-Seq,-0.4132014769381453,value_H3K4me3,-0.5370498593854035,value_H3K4me3,-0.4426692783563319,value_H3K9ac,-0.31745321516565606,value_H3K4me3,-0.4088262038947371,value_H3K4me3,-0.46661738642911194,value_H3K4me3,-0.45542659419717463
